:START_ID,:END_ID,:TYPE
Eucalyptus,Healthcare,SECTOR
Workstream,HR,SECTOR
Quanto,Finance,SECTOR
Clarify Health,Healthcare,SECTOR
Blockchain.com,Crypto,SECTOR
Callisto Media,Media,SECTOR
AppGate,Security,SECTOR
WHOOP,Fitness,SECTOR
Rad Power Bikes,Transportation,SECTOR
Lunchbox,Food,SECTOR
RealSelf,Healthcare,SECTOR
Just Eat Takeaway,Food,SECTOR
Flyhomes,Real Estate,SECTOR
Varo,Finance,SECTOR
BlueStacks,Other,SECTOR
Lyft,Transportation,SECTOR
Introhive,Sales,SECTOR
Zencity,Other,SECTOR
Splice,Media,SECTOR
Forma.ai,Sales,SECTOR
Arc,HR,SECTOR
Invitae,Healthcare,SECTOR
Olive,Healthcare,SECTOR
M1,Finance,SECTOR
SellerX,Retail,SECTOR
Stint,HR,SECTOR
PACT Pharma,Healthcare,SECTOR
Gemini,Crypto,SECTOR
Lusha,Marketing,SECTOR
Bright Money,Finance,SECTOR
Project44,Logistics,SECTOR
Heroes,Retail,SECTOR
Aspire,Marketing,SECTOR
Zego,Finance,SECTOR
The Mom Project,HR,SECTOR
Unstoppable Domains,Crypto,SECTOR
Kiavi,Real Estate,SECTOR
Wave,Finance,SECTOR
Tonal,Fitness,SECTOR
Fabric,Logistics,SECTOR
Bryter,Product,SECTOR
ChowNow,Food,SECTOR
Involves,Retail,SECTOR
100 Thieves,Consumer,SECTOR
Nuro,Transportation,SECTOR
Gopuff,Food,SECTOR
Fraazo,Food,SECTOR
Babylon,Healthcare,SECTOR
Hubilo,Marketing,SECTOR
Hopin,Other,SECTOR
Alice,Healthcare,SECTOR
SundaySky,Marketing,SECTOR
PuduTech,Other,SECTOR
Butler Hospitality,Food,SECTOR
Calibrate,Healthcare,SECTOR
Argo AI,Transportation,SECTOR
Next Insurance,Finance,SECTOR
Adwerx,Marketing,SECTOR
Emotive,Marketing,SECTOR
Remote,HR,SECTOR
Shopify,Retail,SECTOR
Anodot,Data,SECTOR
SQream,Data,SECTOR
Loft,Real Estate,SECTOR
Bizzabo,Marketing,SECTOR
eToro,Finance,SECTOR
Verbit,Data,SECTOR
Outschool,Education,SECTOR
Bullish,Crypto,SECTOR
Transmit Security,Security,SECTOR
Thimble,Finance,SECTOR
Syte,Retail,SECTOR
Lightricks,Consumer,SECTOR
Chessable,Consumer,SECTOR
Sendle,Logistics,SECTOR
Lendis,Other,SECTOR
Gorillas,Food,SECTOR
Celsius,Crypto,SECTOR
WanderJaunt,Travel,SECTOR
Canoo,Transportation,SECTOR
Bamboo Health,Healthcare,SECTOR
Teleport,Infrastructure,SECTOR
Enjoy,Retail,SECTOR
Crejo.Fun,Education,SECTOR
Stash Financial,Finance,SECTOR
Nate,Retail,SECTOR
Snyk,Security,SECTOR
Stream,Product,SECTOR
Finleap Connect,Finance,SECTOR
Abra,Crypto,SECTOR
Toppr,Education,SECTOR
Unity,Other,SECTOR
Niantic,Consumer,SECTOR
AvantStay,Travel,SECTOR
Qumulo,Data,SECTOR
Clutch,Transportation,SECTOR
Parallel Wireless,Infrastructure,SECTOR
Oye Rickshaw,Transportation,SECTOR
Rows,Other,SECTOR
Baton,Transportation,SECTOR
Substack,Media,SECTOR
Huobi,Crypto,SECTOR
WhiteHat Jr,Education,SECTOR
StockX,Retail,SECTOR
Sidecar Health,Healthcare,SECTOR
StockX,Retail,SECTOR
Vezeeta,Healthcare,SECTOR
Bright Machines,Data,SECTOR
HealthMatch,Healthcare,SECTOR
AppLovin,Marketing,SECTOR
UiPath,Data,SECTOR
